Date,Central (kWh),temp_C,HR,windSpeed_m/s,windGust_m/s,pres_mbar,solarRad_W/m2,rain_mm/h,rain_day
2019-01-01 0:00:00,121.829,10.63583333,62.68416667,0,0,1031,2.54325,0,0
2019-01-01 1:00:00,122.528,10.3775,62.83666667,0,0,1031,1.728666667,0,0
2019-01-01 2:00:00,121.191,10.26083333,61.72,0,0,1031.083333,2.67475,0,0
2019-01-01 3:00:00,120.859,9.666666667,63.89333333,0,0,1031.083333,2.44425,0,0
2019-01-01 4:00:00,120.5,8.640833333,68.03416667,0,0,1031,3.056333333,0,0
2019-01-01 5:00:00,120.677,9.093333333,63.19333333,0,0,1031,2.426416667,0,0
2019-01-01 6:00:00,120.219,8.3925,67.45666667,0,0,1031.416667,2.46775,0,0
2019-01-01 7:00:00,119.602,7.6975,70.29833333,0,0,1032,3.402833333,0,0
2019-01-01 8:00:00,128.088,7.696666667,70.62,0,0,1033,66.3175,0,0
2019-01-01 9:00:00,128.227,8.685,63.055,0,0,1033.083333,216.0666667,0,0
2019-01-01 10:00:00,129.57,9.961666667,58.75833333,0,0,1033.583333,349.3166667,0,0
2019-01-01 11:00:00,130.864,11.29083333,53.24666667,0,0,1033,441.9833333,0,0
2019-01-01 12:00:00,130.828,12.48083333,48.16833333,0,0,1032.333333,481.325,0,0
2019-01-01 13:00:00,131.98,14.08083333,42.3475,0,0,1031.75,463.5666667,0,0
2019-01-01 14:00:00,130.628,15.055,38.46333333,0,0,1031,388.4333333,0,0
2019-01-01 15:00:00,132.736,15.81416667,36.73083333,0,0,1031.5,265.3333333,0,0
2019-01-01 16:00:00,132.29,15.7225,34.20833333,0,0,1032,116.13,0,0
2019-01-01 17:00:00,132.16,14.49,35.6375,0,0,1032,7.204833333,0,0
2019-01-01 18:00:00,129.957,14.13,38.89916667,0,0,1032.083333,1.358916667,0,0
2019-01-01 19:00:00,129.355,13.16083333,53.75333333,0,0,1033,1.024666667,0,0
2019-01-01 20:00:00,123.116,12.58666667,56.84083333,0,0,1033,2.354083333,0,0
2019-01-01 21:00:00,122.932,13.02583333,51.14916667,0,0,1033,1.394,0,0
2019-01-01 22:00:00,121.853,12.035,53.09416667,0,0,1033,0.9255,0,0
2019-01-01 23:00:00,121.396,11.66083333,49.93,0,0,1033,0.8445833333,0,0
